,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood
111,Grew Apart,Still That Kid,Logan Mize,2021-01-27,169975,66,0.624,0.0529,0.624,0.64,2.8e-05,0.119,-7.735,0.0806,88.942,4,1
112,Lose You To Love Me,Lose You To Love Me,Selena Gomez,2019-10-23,206458,22,0.505,0.576,0.505,0.34,0.0,0.21,-9.005,0.0438,101.993,4,1
113,Hold Me While You Wait,Hold Me While You Wait,Lewis Capaldi,2019-05-03,205686,69,0.688,0.443,0.688,0.53,0.0,0.0995,-5.507,0.0333,106.958,4,1
114,listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,242652,77,0.319,0.935,0.319,0.0561,0.00384,0.388,-23.023,0.045,79.764,3,1
115,happiness,evermore,Taylor Swift,2020-12-11,315146,67,0.559,0.87,0.559,0.334,0.0,0.114,-10.733,0.0376,122.079,4,1
116,Let Somebody Go,Music Of The Spheres,Coldplay,2021-10-15,241595,85,0.592,0.193,0.592,0.342,0.00245,0.11,-8.93,0.0339,130.953,4,1
117,A Concert Six Months From Now,A Concert Six Months From Now,FINNEAS,2021-08-05,205286,58,0.53,0.712,0.53,0.232,0.0,0.132,-10.272,0.0584,138.908,3,1
118,Panic Attacks in Paradise,Panic Attacks in Paradise / Maggots,Ashnikko,2021-09-29,184885,71,0.695,0.554,0.695,0.386,0.0,0.0906,-5.114,0.0337,127.947,4,1
119,Is It Just Me? (feat. JP Cooper),Is It Just Me?,Emily Burns,2021-01-15,203300,45,0.478,0.688,0.478,0.339,0.0,0.104,-7.355,0.0544,145.441,4,1
120,My Person,My Person,Tayler Buono,2021-02-12,186879,49,0.504,0.599,0.504,0.596,0.0,0.376,-7.753,0.384,143.818,4,1
121,tear myself apart,all the things i never said,Tate McRae,2020-01-24,165240,52,0.488,0.212,0.488,0.498,0.0,0.117,-6.895,0.0274,85.985,4,1
122,evermore (feat. Bon Iver),evermore,Taylor Swift,2020-12-11,304106,68,0.39,0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,5,1
123,i can't breathe,aurora,Bea Miller,2018-02-23,213986,62,0.347,0.893,0.347,0.209,0.00287,0.138,-11.152,0.0273,82.878,4,1
124,Not Usually Like This,Not Usually Like This,Cian Ducrot,2021-02-04,199851,52,0.705,0.684,0.705,0.476,0.0,0.16,-9.039,0.0894,134.947,5,1
125,Renegade (feat. Taylor Swift),Renegade (feat. Taylor Swift),Big Red Machine,2021-07-02,254466,70,0.532,0.435,0.532,0.708,0.0236,0.107,-8.121,0.0505,167.977,4,1
126,Two Week Notice,Two Week Notice,Leanna Firestone,2021-05-13,238000,52,0.456,0.925,0.456,0.311,6.68e-05,0.111,-11.95,0.09,185.544,4,1
127,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,291796,80,0.421,0.952,0.421,0.131,0.00453,0.109,-18.435,0.0382,137.446,4,1
128,Strange,Not Your Muse (Deluxe),Celeste,2021-01-29,255986,77,0.286,0.934,0.286,0.0847,6.94e-06,0.121,-9.883,0.0397,70.743,4,1
129,Drop Dead,Drop Dead,Holly Humberstone,2020-08-11,177162,55,0.577,0.586,0.577,0.393,0.000181,0.0927,-7.322,0.038,89.858,4,1
130,Liability,Melodrama,Lorde,2017-06-16,171727,75,0.587,0.92,0.587,0.229,0.0,0.1,-11.254,0.128,75.67,4,1
131,Love is Pain,Optimist,FINNEAS,2021-10-15,224278,70,0.609,0.927,0.609,0.141,0.000104,0.0923,-15.33,0.0394,78.233,4,1
132,Hurt Again,Hurt Again,Jillian Rossi,2021-10-20,126562,52,0.638,0.123,0.638,0.564,2.97e-06,0.0811,-5.876,0.0374,96.08,4,1
133,wish you well,these words are all for you,Wrabel,2021-09-24,182187,62,0.572,0.59,0.572,0.336,0.0,0.142,-7.232,0.0346,133.974,4,1
134,hurt so bad,hurt so bad,Cian Ducrot,2020-07-02,242488,0,0.461,0.337,0.461,0.452,0.0,0.269,-6.529,0.0366,168.074,3,1
135,Baby Blue,When Facing the Things We Turn Away From,Luke Hemmings,2021-08-13,223182,61,0.54,0.188,0.54,0.82,0.0,0.0724,-3.848,0.0437,123.991,4,1
136,Motion Sickness,Stranger in the Alps,Phoebe Bridgers,2017-09-22,229760,52,0.652,0.774,0.652,0.545,0.0428,0.0847,-9.021,0.0358,107.019,4,1
137,505,Favourite Worst Nightmare,Arctic Monkeys,2007-04-22,253586,80,0.526,0.00287,0.526,0.866,7.78e-05,0.0945,-5.822,0.0568,140.266,4,1
138,4am,4am,girl in red,2018-08-10,110861,63,0.416,0.672,0.416,0.389,0.38,0.205,-13.696,0.0385,168.897,4,1
139,Lovers Rock,French Exit,TV Girl,2014-06-05,213920,78,0.559,7.53e-06,0.559,0.871,0.00524,0.096,-5.338,0.0392,104.976,4,1
140,Outside with the Cuties,Next Thing,Frankie Cosmos,2016-04-01,154305,51,0.524,0.689,0.524,0.182,0.000106,0.16,-13.154,0.0637,85.72,4,1
141,Bags,Immunity,Clairo,2019-08-02,260519,71,0.742,0.172,0.742,0.546,0.38,0.115,-7.694,0.0315,104.996,4,1
142,First Love / Late Spring,Bury Me At Makeout Creek,Mitski,2014-11-11,278640,78,0.445,0.000825,0.445,0.543,0.0137,0.202,-8.196,0.0272,99.963,4,1
143,Where'd All the Time Go?,"Shame, Shame (Deluxe Edition)",Dr. Dog,2010-11-02,234800,78,0.454,0.132,0.454,0.82,0.000969,0.115,-4.193,0.0567,166.303,4,1
144,Sarah,Trick,Alex G,2012-11-05,176146,63,0.65,0.514,0.65,0.686,0.000188,0.138,-5.198,0.0314,124.023,4,1
